1,"he","HD","HD הינה טכנולוגיה להפקה"," לשידור ולקליטה דיגיטלית של שידורי טלוויזיה באיכות תמונה הגבוהה ביותר הקיימת כיום. ישנם 2 סוגי מסכי LCD המתאימים לשיטת השידור הזאת:\n HD Ready היא רמה בינונית של מסך אשר מותאם לשידורים רגילים ולשידורי HDTV"," ברזולוציה מינימלית של 720 שורות או 768 שורות של פיקסלים. רוב מסכי ה-LCD שנמכרים בישראל הם מסוג HD READY. \n  FULL HD היא הדרגה הגבוהה ביותר של מסכי HDTV. מרבית המסכים מסוג FULL HD הם מסכי LCD"," ומחירם יקר יותר מהמסכים האחרים. מסכים אלו מציגים בדרך כלל איכות פחות טובה בשידורי טלוויזיה רגילים"," אך בשידורי HDTV הם מציגים את מלוא הפרטים שבשידור ונותנים חוויה איכותית במיוחד. הרזולוציה של מסכי Full HD היא 1920 פיקסלים על 1080.","NULL"
2,"he","יחס ניגודיות","ככל שיחס הניגודיות של המסך גבוה יותר"," כך האיכות שלו אמורה להיות טובה יותר. יחס הניגודיות הוא ההבדל בעוצמת האור בין הלבן הכי בהיר ועד לשחור הכי עמוק. ככל שהמסך נהנה"," לפחות לכאורה"," מיחס ניגודיות גבוה יותר"," כך טווח הצבעים שהוא יכול להציג רחב ומדויק יותר.","NULL"
3,"he","רזולוציה","רזולוציה היא רמת הפירוט של תמונה דיגיטלית. הדרך המקובלת למדוד רזולוציה של תצוגה על פני מסך דיגיטלי (צג מחשב","טלויזיית LCD) היא גובהXרוחב. משתמשים בדרך כלל ברזולוציות ביחס של 4:3 או 16:9 של כמות הנקודות (פיקסלים) לרוחב ביחס לכמות הנקודות לגובה.","NULL",,,
4,"he","בהירות","בהירות מציינת את העוצמה המקסימלית של תאורת המסך ביחידות של מספר נרות הפזורים למטר מרובע. ככל שנתון זה גבוה"," נקבל תמונה טובה ובהירה יותר.","cd/m2",,,
5,"he","זווית צפייה","זוית צפיה הינה מונח המתייחס למיקום הכי קיצוני ביחס למסך בו ניתן להתבונן"," מבלי שהתמונה תתעוות או שהצבעים בה ישתנו. זוית צפיה סטנדרטית במסכי טלויזיה היא בדרך כלל בין 176 ל- 160 מעלות.","מעלות",,,
6,"he","מהירות תגובה","זמן תגובה זהו הזמן הלוקח למסך LCD לשנות צבע של נקודה בודדת משחור עד לבן ובחזרה לשחור. זמן זה נמדד באלפיות השניה. ככל שזמן התגובה קצר יותר"," כך ניתן לצמצם יותר את התופעה של מריחת התמונה. זמן תגובה מהיר יותר מתאים ליישומים כמו משחקים"," בהם יש תנועה רבה על המסך.","מילישניות",,
7,"he","רוחב","NULL","ס""מ",,,,
8,"he","גובה","NULL","ס""מ",,,,
9,"he","עומק","NULL","ס""מ",,,,
10,"he","טכנולוגיית מסך","LCD - הן טלוויזיות בעלות מסך דק במיוחד"," בעלות צריכת חשמל נמוכה ואיכות מעולה. זו אותה טכנולוגיה אשר נמצאת בשימוש בטלפונים סלולאריים או מסכי מחשב דקים. היא מתאימה למי שצופה בסרטי DVD  או בHDTV  או רוצה לחבר את המחשב לטלוויזיה. אך בשידורי טלוויזיה רגילים (רוב התחנות כיום) איכותה תהיה לרוב פחותה מטלוויזית פלזמה באותו הגודל. \nפלזמה - טכנולוגיית הפלזמה דומה לעיקרון יצירת האור במנורת פלורסנט"," המורכבת משני לוחות זכוכית המוקפים בגז. טלוויזיות הפלזמה הן מגודל של 40 אינטש ומעלה. הן מאפשרות תמונה חדה באופן יחסי על מסך דק ושטוח. \nרגילה - טלוויזית שפופרת"," מהסוג המוכר והנפוץ ביותר עד היום. אלה טלוויזיות באיכות תמונה גבוהה"," וביחס מחיר תועלת טוב עד לגודל של 38 אינטש. חסרונן העיקרי הוא בגודל ובמשקל הטלוויזיה.","NULL"
11,"he","גודל תצוגה","גודל מסך הטלוויזיה נמדד באמצעות העברת קו אלכסון"," מהפינה השמאלית העליונה של המסך לפינה הימנית התחתונה שלו (או להפך"," כמובן). את התוצאה מודדים באינטשים"," כאשר אינטש אחד שווה ל-2.54 סנטימטרים. יכיצד נקבע מה גודל הטלויזיה הרצוי? לוקחים את גודל הטלוויזיה באינטש ומכפילים ב- 2.54. כעת קיבלנו את גודל אלכסון המסך בסמ. מרחק הצפייה המומלץ הוא בין 3-5 פעמים אלכסון המסך.","אינצ'",
12,"he","יחס גובה לרוחב","4:3 - מסך מלבני המצוי במרבית הטלוויזיות ומתאים למרבית השידורים. \n 16:9 - מידת הפרופורציה למסכים המשוכללים של היום"," המכונה CINEMA SCREEN PICTURE – תמונת מסך קולנוע. יש לציין כי מרבית סרטי ה- DVD המצויים בשוק הם בפורמט 16:9. שיטת שידור זו מתחילה להיכנס באופן הדרגתי כסטנדרט שידור.","NULL",,,
13,"he","סטריאו","NULL","NULL",,,,
